condition,inputs,target,context distance,results,coded response,ce loss
MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([3.55264900e-01, 5.14094001e-04, 7.74688401e-04, 4.15866863e-04,
       3.06744555e-04, 5.75095617e-04, 2.65097139e-04, 6.90125296e-04,
       1.33826411e-03, 7.71040028e-04, 1.74676130e-03, 3.89614302e-03,
       1.04452317e-03, 1.12439137e-02, 1.73064253e-02, 2.66076679e-02,
       7.65008726e-02, 2.69286786e-02, 1.07079566e-01, 8.59262705e-02,
       3.53138948e-01, 2.54049229e-01, 4.56221643e-01, 7.58965821e-01,
       2.25553929e-04]), array([5.33892525e-01, 1.97072515e-06, 4.43076997e-06, 3.40267629e-06,
       3.13741192e-06, 5.50438894e-06, 3.79791182e-06, 8.01046139e-06,
       1.73716754e-05, 1.38168797e-05, 3.15169784e-05, 9.25283293e-05,
       4.46125284e-05, 5.20291983e-04, 1.20339598e-03, 2.57158203e-03,
       1.30098458e-02, 7.47503726e-03, 2.88114604e-02, 3.06918687e-02,
       1.89092766e-01, 1.91693023e-01, 4.03756964e-01, 8.73196689e-01,
       4.27160970e-07]))","[1, 0]",0.03650552528091411,"[array([23.20288004,  7.97760297])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([3.55264900e-01, 5.14094001e-04, 7.74688401e-04, 4.15866863e-04,
       3.06744555e-04, 5.75095617e-04, 2.65097139e-04, 6.90125296e-04,
       1.33826411e-03, 7.71040028e-04, 1.74676130e-03, 3.89614302e-03,
       1.04452317e-03, 1.12439137e-02, 1.73064253e-02, 2.66076679e-02,
       7.65008726e-02, 2.69286786e-02, 1.07079566e-01, 8.59262705e-02,
       3.53138948e-01, 2.54049229e-01, 4.56221643e-01, 7.58965821e-01,
       2.25553929e-04]), array([4.46810906e-01, 4.64214683e-05, 8.38442944e-05, 5.42695237e-05,
       4.51715227e-05, 7.97300789e-05, 4.65072119e-05, 1.03934312e-04,
       2.09232184e-04, 1.42951956e-04, 3.17025032e-04, 7.91628078e-04,
       2.96920342e-04, 2.99245168e-03, 5.53558126e-03, 9.86670934e-03,
       3.56112731e-02, 1.63499698e-02, 6.14099820e-02, 5.66855531e-02,
       2.69408834e-01, 2.29821334e-01, 4.39602203e-01, 8.20178732e-01,
       1.50469227e-05]))","[1, 0]",0.010353741455392584,"[array([23.83326522,  7.83535124])]","('match', 'MATCH_WITH_FOIL')",0.0000
NO_MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([3.55264900e-01, 5.14094001e-04, 7.74688401e-04, 4.15866863e-04,
       3.06744555e-04, 5.75095617e-04, 2.65097139e-04, 6.90125296e-04,
       1.33826411e-03, 7.71040028e-04, 1.74676130e-03, 3.89614302e-03,
       1.04452317e-03, 1.12439137e-02, 1.73064253e-02, 2.66076679e-02,
       7.65008726e-02, 2.69286786e-02, 1.07079566e-01, 8.59262705e-02,
       3.53138948e-01, 2.54049229e-01, 4.56221643e-01, 7.58965821e-01,
       2.25553929e-04]), array([5.33892525e-01, 1.97072515e-06, 4.43076997e-06, 3.40267629e-06,
       3.13741192e-06, 5.50438894e-06, 3.79791182e-06, 8.01046139e-06,
       1.73716754e-05, 1.38168797e-05, 3.15169784e-05, 9.25283293e-05,
       4.46125284e-05, 5.20291983e-04, 1.20339598e-03, 2.57158203e-03,
       1.30098458e-02, 7.47503726e-03, 2.88114604e-02, 3.06918687e-02,
       1.89092766e-01, 1.91693023e-01, 4.03756964e-01, 8.73196689e-01,
       4.27160970e-07]))","[0, 1]",0.03650552528091411,"[array([ 8.80168797, 23.35943707])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0000
NO_MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([3.55264900e-01, 5.14094001e-04, 7.74688401e-04, 4.15866863e-04,
       3.06744555e-04, 5.75095617e-04, 2.65097139e-04, 6.90125296e-04,
       1.33826411e-03, 7.71040028e-04, 1.74676130e-03, 3.89614302e-03,
       1.04452317e-03, 1.12439137e-02, 1.73064253e-02, 2.66076679e-02,
       7.65008726e-02, 2.69286786e-02, 1.07079566e-01, 8.59262705e-02,
       3.53138948e-01, 2.54049229e-01, 4.56221643e-01, 7.58965821e-01,
       2.25553929e-04]), array([4.46810906e-01, 4.64214683e-05, 8.38442944e-05, 5.42695237e-05,
       4.51715227e-05, 7.97300789e-05, 4.65072119e-05, 1.03934312e-04,
       2.09232184e-04, 1.42951956e-04, 3.17025032e-04, 7.91628078e-04,
       2.96920342e-04, 2.99245168e-03, 5.53558126e-03, 9.86670934e-03,
       3.56112731e-02, 1.63499698e-02, 6.14099820e-02, 5.66855531e-02,
       2.69408834e-01, 2.29821334e-01, 4.39602203e-01, 8.20178732e-01,
       1.50469227e-05]))","[0, 1]",0.010353741455392584,"[array([ 8.9498985, 23.6856705])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0000
MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-0.03679425,  0.08887892,  0.07820264,  0.00151807, -0.01731217,
        0.01319452, -0.02901594,  0.01585885,  0.05713109, -0.00426133,
        0.05001112,  0.10853767, -0.03814925,  0.19876661,  0.17842064,
        0.18415825,  0.36090237, -0.04703492,  0.27819227,  0.09360465,
        0.55144591,  0.14790611,  0.32902084,  0.44549167,  0.0940109 ]), array([1.62473986e-01, 1.40267256e-02, 1.57804942e-02, 4.96912677e-03,
       2.05427460e-03, 7.04709788e-03, 3.05913840e-04, 7.75985778e-03,
       1.60308238e-02, 5.39936797e-03, 1.66731785e-02, 3.34361075e-02,
       7.74549280e-04, 6.97100962e-02, 7.99206682e-02, 9.78487881e-02,
       2.13973367e-01, 2.93191159e-02, 2.15081516e-01, 1.26332942e-01,
       4.95735827e-01, 2.44493373e-01, 4.29925753e-01, 6.14477381e-01,
       9.87577568e-03]))","[1, 0]",0.09123149198428282,"[array([22.38909518,  9.29427012])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-0.03679425,  0.08887892,  0.07820264,  0.00151807, -0.01731217,
        0.01319452, -0.02901594,  0.01585885,  0.05713109, -0.00426133,
        0.05001112,  0.10853767, -0.03814925,  0.19876661,  0.17842064,
        0.18415825,  0.36090237, -0.04703492,  0.27819227,  0.09360465,
        0.55144591,  0.14790611,  0.32902084,  0.44549167,  0.0940109 ]), array([0.26016921, 0.00332168, 0.00428616, 0.00183798, 0.00113351,
       0.00249465, 0.00074613, 0.00282881, 0.00550627, 0.00255956,
       0.00635044, 0.01317426, 0.00202743, 0.03140077, 0.04132057,
       0.05616377, 0.13750393, 0.03393799, 0.16118802, 0.11179198,
       0.43157724, 0.25989948, 0.45295272, 0.69016957, 0.00187309]))","[1, 0]",0.17458857770204816,"[array([21.47194637,  9.77604282])]","('match', 'MATCH_WITH_FOIL')",0.0000
NO_MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([-0.03679425,  0.08887892,  0.07820264,  0.00151807, -0.01731217,
        0.01319452, -0.02901594,  0.01585885,  0.05713109, -0.00426133,
        0.05001112,  0.10853767, -0.03814925,  0.19876661,  0.17842064,
        0.18415825,  0.36090237, -0.04703492,  0.27819227,  0.09360465,
        0.55144591,  0.14790611,  0.32902084,  0.44549167,  0.0940109 ]), array([1.62473986e-01, 1.40267256e-02, 1.57804942e-02, 4.96912677e-03,
       2.05427460e-03, 7.04709788e-03, 3.05913840e-04, 7.75985778e-03,
       1.60308238e-02, 5.39936797e-03, 1.66731785e-02, 3.34361075e-02,
       7.74549280e-04, 6.97100962e-02, 7.99206682e-02, 9.78487881e-02,
       2.13973367e-01, 2.93191159e-02, 2.15081516e-01, 1.26332942e-01,
       4.95735827e-01, 2.44493373e-01, 4.29925753e-01, 6.14477381e-01,
       9.87577568e-03]))","[0, 1]",0.09123149198428282,"[array([ 6.44699891, 23.19102665])]","('non-match', 'NO_MATCH_NO_FOIL')",-0.0000
NO_MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([-0.03679425,  0.08887892,  0.07820264,  0.00151807, -0.01731217,
        0.01319452, -0.02901594,  0.01585885,  0.05713109, -0.00426133,
        0.05001112,  0.10853767, -0.03814925,  0.19876661,  0.17842064,
        0.18415825,  0.36090237, -0.04703492,  0.27819227,  0.09360465,
        0.55144591,  0.14790611,  0.32902084,  0.44549167,  0.0940109 ]), array([0.26016921, 0.00332168, 0.00428616, 0.00183798, 0.00113351,
       0.00249465, 0.00074613, 0.00282881, 0.00550627, 0.00255956,
       0.00635044, 0.01317426, 0.00202743, 0.03140077, 0.04132057,
       0.05616377, 0.13750393, 0.03393799, 0.16118802, 0.11179198,
       0.43157724, 0.25989948, 0.45295272, 0.69016957, 0.00187309]))","[0, 1]",0.17458857770204816,"[array([ 6.45671274, 22.81668053])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0000
MATCH_NO_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([-0.4230444 ,  0.10635044,  0.04399444, -0.12626476, -0.18754355,
       -0.12366042, -0.26716376, -0.14817517, -0.0249827 , -0.22879485,
       -0.06014973,  0.08894919, -0.37311202,  0.25598384,  0.11276513,
        0.07190105,  0.27047456, -0.41690279,  0.07401054, -0.22267896,
        0.32302617, -0.2191319 , -0.02362938,  0.06168417,  0.28483566]), array([-0.23459562,  0.17198795,  0.11637651, -0.06640421, -0.11421355,
       -0.04215181, -0.15199295, -0.03966327,  0.06125047, -0.09377156,
        0.03862427,  0.15760923, -0.18166406,  0.30509697,  0.21211238,
        0.18754462,  0.39379878, -0.22302158,  0.2278515 , -0.03666708,
        0.48738508, -0.02036465,  0.16943757,  0.25874561,  0.27595023]))","[1, 0]",0.19658044516103756,"[array([19.59673549,  7.3985434 ])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([-0.4230444 ,  0.10635044,  0.04399444, -0.12626476, -0.18754355,
       -0.12366042, -0.26716376, -0.14817517, -0.0249827 , -0.22879485,
       -0.06014973,  0.08894919, -0.37311202,  0.25598384,  0.11276513,
        0.07190105,  0.27047456, -0.41690279,  0.07401054, -0.22267896,
        0.32302617, -0.2191319 , -0.02362938,  0.06168417,  0.28483566]), array([-1.36376251e-01,  1.42341915e-01,  1.10727622e-01, -2.32662018e-02,
       -5.62885684e-02, -3.57975915e-03, -7.84413139e-02,  4.57105642e-04,
        7.07225849e-02, -3.60272020e-02,  5.58694697e-02,  1.44507102e-01,
       -9.53755986e-02,  2.65027387e-01,  2.10824875e-01,  2.01787807e-01,
        3.97798428e-01, -1.25231313e-01,  2.68938673e-01,  3.96529334e-02,
        5.34441040e-01,  7.06375264e-02,  2.55165650e-01,  3.53886596e-01,
        1.84414280e-01]))","[1, 0]",0.3917304398486712,"[array([19.76763983,  8.17387943])]","('match', 'MATCH_WITH_FOIL')",0.0000
