condition,inputs,target,context distance,results,coded response,ce loss
NO_MATCH_NO_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 1., 0.]), array([-0.4230444 ,  0.10635044,  0.04399444, -0.12626476, -0.18754355,
       -0.12366042, -0.26716376, -0.14817517, -0.0249827 , -0.22879485,
       -0.06014973,  0.08894919, -0.37311202,  0.25598384,  0.11276513,
        0.07190105,  0.27047456, -0.41690279,  0.07401054, -0.22267896,
        0.32302617, -0.2191319 , -0.02362938,  0.06168417,  0.28483566]), array([-0.23459562,  0.17198795,  0.11637651, -0.06640421, -0.11421355,
       -0.04215181, -0.15199295, -0.03966327,  0.06125047, -0.09377156,
        0.03862427,  0.15760923, -0.18166406,  0.30509697,  0.21211238,
        0.18754462,  0.39379878, -0.22302158,  0.2278515 , -0.03666708,
        0.48738508, -0.02036465,  0.16943757,  0.25874561,  0.27595023]))","[0, 1]",0.19658044516103756,"[array([17.02847013,  7.43145118])]","('match', 'NO_MATCH_NO_FOIL')",9.5971
NO_MATCH_WITH_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 1., 0.]), array([-0.4230444 ,  0.10635044,  0.04399444, -0.12626476, -0.18754355,
       -0.12366042, -0.26716376, -0.14817517, -0.0249827 , -0.22879485,
       -0.06014973,  0.08894919, -0.37311202,  0.25598384,  0.11276513,
        0.07190105,  0.27047456, -0.41690279,  0.07401054, -0.22267896,
        0.32302617, -0.2191319 , -0.02362938,  0.06168417,  0.28483566]), array([-1.36376251e-01,  1.42341915e-01,  1.10727622e-01, -2.32662018e-02,
       -5.62885684e-02, -3.57975915e-03, -7.84413139e-02,  4.57105642e-04,
        7.07225849e-02, -3.60272020e-02,  5.58694697e-02,  1.44507102e-01,
       -9.53755986e-02,  2.65027387e-01,  2.10824875e-01,  2.01787807e-01,
        3.97798428e-01, -1.25231313e-01,  2.68938673e-01,  3.96529334e-02,
        5.34441040e-01,  7.06375264e-02,  2.55165650e-01,  3.53886596e-01,
        1.84414280e-01]))","[0, 1]",0.3917304398486712,"[array([17.58869899,  7.84863378])]","('match', 'NO_MATCH_WITH_FOIL')",9.7401
MATCH_NO_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([-7.42505145e-01, -5.00538945e-04, -3.07613185e-03, -1.22457167e-02,
       -2.23613134e-02, -2.44417220e-02, -5.66211406e-02, -5.69389305e-02,
       -4.27261015e-02, -1.06569271e-01, -8.07497599e-02, -4.09248048e-02,
       -2.57121668e-01, -1.18378082e-02, -7.73748546e-02, -9.92691140e-02,
       -1.59239496e-02, -4.11383676e-01, -1.73743517e-01, -4.19497402e-01,
       -4.31478707e-02, -5.00635795e-01, -3.87816111e-01, -3.31861893e-01,
        1.17274834e-02]), array([-0.59462774,  0.01644461, -0.00591458, -0.07037204, -0.10961189,
       -0.09439659, -0.19306163, -0.14822571, -0.07902574, -0.23118614,
       -0.12564529, -0.01731076, -0.41356823,  0.09552111, -0.02694044,
       -0.06086592,  0.09165451, -0.49739278, -0.09183987, -0.37568373,
        0.12144757, -0.39505595, -0.21969896, -0.13783641,  0.10364911]))","[1, 0]",0.0889861820544422,"[array([15.19409227,  0.45943724])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([-7.42505145e-01, -5.00538945e-04, -3.07613185e-03, -1.22457167e-02,
       -2.23613134e-02, -2.44417220e-02, -5.66211406e-02, -5.69389305e-02,
       -4.27261015e-02, -1.06569271e-01, -8.07497599e-02, -4.09248048e-02,
       -2.57121668e-01, -1.18378082e-02, -7.73748546e-02, -9.92691140e-02,
       -1.59239496e-02, -4.11383676e-01, -1.73743517e-01, -4.19497402e-01,
       -4.31478707e-02, -5.00635795e-01, -3.87816111e-01, -3.31861893e-01,
        1.17274834e-02]), array([-0.67192326,  0.00234951, -0.00646   , -0.03424839, -0.05697832,
       -0.05518365, -0.11778774, -0.10352352, -0.06698758, -0.17351717,
       -0.11306481, -0.04065697, -0.35100293,  0.02803075, -0.06657677,
       -0.09417605,  0.02456254, -0.47301813, -0.14686265, -0.4137947 ,
        0.03054675, -0.45890047, -0.3090682 , -0.23602831,  0.04092655]))","[1, 0]",0.01937425598724174,"[array([14.5528659 ,  0.09017018])]","('match', 'MATCH_WITH_FOIL')",0.0000
NO_MATCH_NO_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-7.42505145e-01, -5.00538945e-04, -3.07613185e-03, -1.22457167e-02,
       -2.23613134e-02, -2.44417220e-02, -5.66211406e-02, -5.69389305e-02,
       -4.27261015e-02, -1.06569271e-01, -8.07497599e-02, -4.09248048e-02,
       -2.57121668e-01, -1.18378082e-02, -7.73748546e-02, -9.92691140e-02,
       -1.59239496e-02, -4.11383676e-01, -1.73743517e-01, -4.19497402e-01,
       -4.31478707e-02, -5.00635795e-01, -3.87816111e-01, -3.31861893e-01,
        1.17274834e-02]), array([-0.59462774,  0.01644461, -0.00591458, -0.07037204, -0.10961189,
       -0.09439659, -0.19306163, -0.14822571, -0.07902574, -0.23118614,
       -0.12564529, -0.01731076, -0.41356823,  0.09552111, -0.02694044,
       -0.06086592,  0.09165451, -0.49739278, -0.09183987, -0.37568373,
        0.12144757, -0.39505595, -0.21969896, -0.13783641,  0.10364911]))","[0, 1]",0.0889861820544422,"[array([ 3.23258816, 15.18853266])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0000
NO_MATCH_WITH_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-7.42505145e-01, -5.00538945e-04, -3.07613185e-03, -1.22457167e-02,
       -2.23613134e-02, -2.44417220e-02, -5.66211406e-02, -5.69389305e-02,
       -4.27261015e-02, -1.06569271e-01, -8.07497599e-02, -4.09248048e-02,
       -2.57121668e-01, -1.18378082e-02, -7.73748546e-02, -9.92691140e-02,
       -1.59239496e-02, -4.11383676e-01, -1.73743517e-01, -4.19497402e-01,
       -4.31478707e-02, -5.00635795e-01, -3.87816111e-01, -3.31861893e-01,
        1.17274834e-02]), array([-0.67192326,  0.00234951, -0.00646   , -0.03424839, -0.05697832,
       -0.05518365, -0.11778774, -0.10352352, -0.06698758, -0.17351717,
       -0.11306481, -0.04065697, -0.35100293,  0.02803075, -0.06657677,
       -0.09417605,  0.02456254, -0.47301813, -0.14686265, -0.4137947 ,
        0.03054675, -0.45890047, -0.3090682 , -0.23602831,  0.04092655]))","[0, 1]",0.01937425598724174,"[array([ 2.21741748, 15.14849325])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0000
MATCH_NO_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([-9.44740650e-01, -2.95019570e-07, -5.30470142e-07, -2.17129668e-06,
       -8.90739211e-06, -1.87151970e-05, -1.12665185e-04, -2.24203693e-04,
       -2.86337198e-04, -1.06035867e-03, -1.44390838e-03, -1.36868999e-03,
       -1.21024998e-02, -5.77317163e-03, -1.02416454e-02, -1.44032207e-02,
       -1.07096094e-02, -8.54003067e-02, -7.74841674e-02, -2.03208084e-01,
       -1.16920199e-01, -4.28640979e-01, -5.42628581e-01, -6.73014264e-01,
        6.22367411e-07]), array([-8.60781213e-01, -7.26061566e-05, -1.48320582e-04, -5.12840087e-04,
       -1.24824514e-03, -1.80213521e-03, -5.64914123e-03, -7.64905692e-03,
       -7.42560766e-03, -2.02432705e-02, -2.02725548e-02, -1.47407858e-02,
       -8.46668971e-02, -2.22089583e-02, -4.49084248e-02, -5.72361212e-02,
       -3.00744755e-02, -2.34493323e-01, -1.50411194e-01, -3.42985570e-01,
       -1.22853773e-01, -5.10246294e-01, -5.01438827e-01, -5.12657088e-01,
        2.93319698e-04]))","[1, 0]",0.02618681228206554,"[array([14.83828739,  0.30467995])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([-9.44740650e-01, -2.95019570e-07, -5.30470142e-07, -2.17129668e-06,
       -8.90739211e-06, -1.87151970e-05, -1.12665185e-04, -2.24203693e-04,
       -2.86337198e-04, -1.06035867e-03, -1.44390838e-03, -1.36868999e-03,
       -1.21024998e-02, -5.77317163e-03, -1.02416454e-02, -1.44032207e-02,
       -1.07096094e-02, -8.54003067e-02, -7.74841674e-02, -2.03208084e-01,
       -1.16920199e-01, -4.28640979e-01, -5.42628581e-01, -6.73014264e-01,
        6.22367411e-07]), array([-8.05668164e-01, -3.33414126e-04, -8.72826836e-04, -3.08909069e-03,
       -6.38651880e-03, -7.95799203e-03, -2.08782577e-02, -2.41944703e-02,
       -2.06892906e-02, -5.26325790e-02, -4.58567116e-02, -2.85511359e-02,
       -1.60983633e-01, -2.53550456e-02, -6.61623071e-02, -8.31139524e-02,
       -3.15956053e-02, -3.26306683e-01, -1.72952097e-01, -3.93940762e-01,
       -9.48230035e-02, -5.17882448e-01, -4.52803264e-01, -4.24379621e-01,
        2.32133073e-03]))","[1, 0]",0.06525993328858837,"[array([14.8372995 ,  0.31127218])]","('match', 'MATCH_WITH_FOIL')",0.0000
NO_MATCH_NO_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-9.44740650e-01, -2.95019570e-07, -5.30470142e-07, -2.17129668e-06,
       -8.90739211e-06, -1.87151970e-05, -1.12665185e-04, -2.24203693e-04,
       -2.86337198e-04, -1.06035867e-03, -1.44390838e-03, -1.36868999e-03,
       -1.21024998e-02, -5.77317163e-03, -1.02416454e-02, -1.44032207e-02,
       -1.07096094e-02, -8.54003067e-02, -7.74841674e-02, -2.03208084e-01,
       -1.16920199e-01, -4.28640979e-01, -5.42628581e-01, -6.73014264e-01,
        6.22367411e-07]), array([-8.60781213e-01, -7.26061566e-05, -1.48320582e-04, -5.12840087e-04,
       -1.24824514e-03, -1.80213521e-03, -5.64914123e-03, -7.64905692e-03,
       -7.42560766e-03, -2.02432705e-02, -2.02725548e-02, -1.47407858e-02,
       -8.46668971e-02, -2.22089583e-02, -4.49084248e-02, -5.72361212e-02,
       -3.00744755e-02, -2.34493323e-01, -1.50411194e-01, -3.42985570e-01,
       -1.22853773e-01, -5.10246294e-01, -5.01438827e-01, -5.12657088e-01,
        2.93319698e-04]))","[0, 1]",0.02618681228206554,"[array([ 0.85901028, 15.10989156])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0000
NO_MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-9.44740650e-01, -2.95019570e-07, -5.30470142e-07, -2.17129668e-06,
       -8.90739211e-06, -1.87151970e-05, -1.12665185e-04, -2.24203693e-04,
       -2.86337198e-04, -1.06035867e-03, -1.44390838e-03, -1.36868999e-03,
       -1.21024998e-02, -5.77317163e-03, -1.02416454e-02, -1.44032207e-02,
       -1.07096094e-02, -8.54003067e-02, -7.74841674e-02, -2.03208084e-01,
       -1.16920199e-01, -4.28640979e-01, -5.42628581e-01, -6.73014264e-01,
        6.22367411e-07]), array([-8.05668164e-01, -3.33414126e-04, -8.72826836e-04, -3.08909069e-03,
       -6.38651880e-03, -7.95799203e-03, -2.08782577e-02, -2.41944703e-02,
       -2.06892906e-02, -5.26325790e-02, -4.58567116e-02, -2.85511359e-02,
       -1.60983633e-01, -2.53550456e-02, -6.61623071e-02, -8.31139524e-02,
       -3.15956053e-02, -3.26306683e-01, -1.72952097e-01, -3.93940762e-01,
       -9.48230035e-02, -5.17882448e-01, -4.52803264e-01, -4.24379621e-01,
        2.32133073e-03]))","[0, 1]",0.06525993328858837,"[array([ 0.85842795, 15.11477789])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0000
MATCH_NO_FOIL,"(array([0., 0., 0., 0., 0., 1., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([-9.97822379e-01, -3.86152707e-15, -9.15204140e-15,  5.48573006e-13,
       -3.80474348e-12, -6.70254732e-11,  3.04600459e-10,  4.29765740e-09,
        1.29472820e-08, -2.48719139e-07, -9.26377410e-07, -1.64084931e-06,
        8.77634185e-06,  9.98437869e-06,  2.31609761e-05,  5.28769849e-05,
        6.71538476e-05, -7.55364502e-04, -1.55885883e-03, -1.37082582e-02,
       -1.61068802e-02, -1.41006253e-01, -3.94159619e-01, -9.07912482e-01,
        3.44284452e-15]), array([-9.91036259e-01, -4.61207120e-13, -8.87209686e-13, -6.42356324e-12,
       -1.14883418e-10, -4.37321409e-10,  2.66966942e-08,  9.55646142e-08,
        1.72786876e-07,  1.36266920e-06,  2.76101869e-06,  3.45439158e-06,
       -3.48865708e-04, -2.58859412e-04, -4.89941775e-04, -8.28755327e-04,
       -7.99108850e-04, -1.61205252e-02, -2.11026794e-02, -7.86851842e-02,
       -6.46937889e-02, -2.88968164e-01, -5.04882415e-01, -8.06540485e-01,
        6.16028078e-13]))","[1, 0]",0.012985744952704326,"[array([13.48788798,  0.10936606])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 0., 1., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([-9.97822379e-01, -3.86152707e-15, -9.15204140e-15,  5.48573006e-13,
       -3.80474348e-12, -6.70254732e-11,  3.04600459e-10,  4.29765740e-09,
        1.29472820e-08, -2.48719139e-07, -9.26377410e-07, -1.64084931e-06,
        8.77634185e-06,  9.98437869e-06,  2.31609761e-05,  5.28769849e-05,
        6.71538476e-05, -7.55364502e-04, -1.55885883e-03, -1.37082582e-02,
       -1.61068802e-02, -1.41006253e-01, -3.94159619e-01, -9.07912482e-01,
        3.44284452e-15]), array([-9.72748144e-01, -2.34678784e-09, -4.28734623e-09, -2.16584781e-08,
       -1.42598868e-07, -3.86726040e-07, -4.95822859e-06, -1.27350414e-05,
       -1.90998628e-05, -9.38715421e-05, -1.53429728e-04, -1.66216054e-04,
       -2.82983467e-03, -1.69621018e-03, -3.05361916e-03, -4.65531163e-03,
       -3.95010326e-03, -4.12250294e-02, -4.46386112e-02, -1.34989279e-01,
       -9.32942718e-02, -3.63151229e-01, -5.33540666e-01, -7.43491736e-01,
        3.89156781e-09]))","[1, 0]",0.030532972847613804,"[array([13.48786802,  0.10936307])]","('match', 'MATCH_WITH_FOIL')",0.0000
NO_MATCH_NO_FOIL,"(array([0., 0., 0., 0., 0., 1., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([-9.97822379e-01, -3.86152707e-15, -9.15204140e-15,  5.48573006e-13,
       -3.80474348e-12, -6.70254732e-11,  3.04600459e-10,  4.29765740e-09,
        1.29472820e-08, -2.48719139e-07, -9.26377410e-07, -1.64084931e-06,
        8.77634185e-06,  9.98437869e-06,  2.31609761e-05,  5.28769849e-05,
        6.71538476e-05, -7.55364502e-04, -1.55885883e-03, -1.37082582e-02,
       -1.61068802e-02, -1.41006253e-01, -3.94159619e-01, -9.07912482e-01,
        3.44284452e-15]), array([-9.91036259e-01, -4.61207120e-13, -8.87209686e-13, -6.42356324e-12,
       -1.14883418e-10, -4.37321409e-10,  2.66966942e-08,  9.55646142e-08,
        1.72786876e-07,  1.36266920e-06,  2.76101869e-06,  3.45439158e-06,
       -3.48865708e-04, -2.58859412e-04, -4.89941775e-04, -8.28755327e-04,
       -7.99108850e-04, -1.61205252e-02, -2.11026794e-02, -7.86851842e-02,
       -6.46937889e-02, -2.88968164e-01, -5.04882415e-01, -8.06540485e-01,
        6.16028078e-13]))","[0, 1]",0.012985744952704326,"[array([ 3.60061091, 12.06900152])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0002
