r1,r2,t,sub,rs,condition
0.987967914438503,0.0120320855614974,1,1,-0.975935828877005,reward
0.0120320855614974,0.00534759358288772,2,1,-0.00668449197860968,control
0.00534759358288778,0.994652406417112,3,1,0.989304812834225,transition
0.0086898395721926,0.987967914438503,4,1,0.97927807486631,reward
0.0120320855614974,0.994652406417112,5,1,0.982620320855615,reward
0.00534759358288772,0.994652406417112,6,1,0.989304812834225,transition
0.0086898395721926,0.00200534759358295,7,1,-0.00668449197860965,control
0.00534759358288772,0.987967914438503,8,1,0.982620320855615,transition
0.00534759358288778,0.994652406417112,9,1,0.989304812834225,reward
0.00868983957219259,0.994652406417112,10,1,0.98596256684492,transition
0.0153743315508022,0.997994652406417,11,1,0.982620320855615,transition
0.0086898395721926,0.994652406417112,12,1,0.98596256684492,transition
0.0086898395721926,0.987967914438503,13,1,0.97927807486631,reward
0.00534759358288778,0.994652406417112,14,1,0.989304812834225,reward
0.0120320855614974,0.00534759358288778,15,1,-0.0066844919786096,control
0.994652406417112,0.991310160427807,16,1,-0.00334224598930488,transition
0.00534759358288778,0.997994652406417,17,1,0.992647058823529,reward
0.00200534759358296,0.994652406417112,18,1,0.992647058823529,reward
0.00534759358288778,0.00200534759358296,19,1,-0.00334224598930481,control
0.00534759358288772,0.997994652406417,20,1,0.992647058823529,transition
0.0287433155080214,0.754010695187166,1,2,0.725267379679144,reward
0.0320855614973262,0.129010695187166,2,2,0.0969251336898396,control
0.0086898395721926,0.827540106951872,3,2,0.818850267379679,transition
0.0254010695187167,0.0153743315508022,4,2,-0.0100267379679145,transition
0.0120320855614974,0.85427807486631,5,2,0.842245989304813,transition
0.0421122994652408,0.757352941176471,6,2,0.71524064171123,transition
0.00534759358288772,0.967914438502674,7,2,0.962566844919786,reward
0.00534759358288778,0.994652406417112,8,2,0.989304812834225,reward
0.0153743315508022,0.991310160427807,9,2,0.975935828877005,reward
0.00200534759358295,0.733957219251337,10,2,0.731951871657754,transition
0.00534759358288778,0.914438502673797,11,2,0.909090909090909,reward
